id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
1,"Успешное оформление заказа (способ доставки - пункт выдачи, способ оплаты - онлайн)",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2. 2\. Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Выбрать адрес пункта выдачи
4. Выбрать способ оплаты
5. Ввести данные карты
6. Нажать на кнопку ""Оплатить""
","1. Открывается форма ""Оформление заказа""
2. Открывается форма ""Выбора пункта выдачи""
3. Появляется окно с адресом пункта выдачи
4. Открывается модальное окно для ввода данных банковской карты
5. Кнопка ""Оплатить"" становиться активна
6. Пользователь видит диалог об успешном оформлении заказа. В личном кабинете заказ отображается в статусе ""Оформлен""
","1. 
2. Пункт выдачи
3. Существующий адрес пункта выдачи
4. Онлайн
5. Правильные данные банковской карты
6. 
",,,,,,
2,"Успешное оформление заказа (способ доставки - курьер, способ оплаты - онлайн)",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2. 2\. Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Ввести адрес доставки
4. Выбрать способ оплаты
5. Ввести данные карты
6. Нажать на кнопку ""Оплатить""
","1. Открывается форма ""Оформление заказа""
2. Открывается окно для ввода адреса доставки
3. Появляется окно с адресом доставки
4. Открывается модальное окно для ввода данных банковской карты
5. Кнопка ""Оплатить"" становиться активна
6. Пользователь видит диалог об успешном оформлении заказа. В личном кабинете заказ отображается в статусе ""Оформлен""
","1. 
2. Курьер
3. Существующий адрес доставки
4. Онлайн
5. Правильные данные банковской карты
6. 
",,,,,,
3,"Успешное оформление заказа (способ доставки - пункт выдачи, способ оплаты - при получении)",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар
2.  Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Выбрать адрес пункта выдачи
4. Выбрать способ оплаты
5. Нажать на кнопку ""Заказать""
","1. Открывается форма ""Оформление заказа""
2. Открывается форма ""Выбора пункта выдачи""
3. Появляется окно с адресом пункта выдачи
4. Появляется кнопка ""Заказать""
5. Пользователь видит диалог об успешном оформлении заказа. В личном кабинете заказ отображается в статусе ""Оформлен""
","1. 
2. Пункт выдачи
3. Существующий адрес пункта выдачи
4. При получении заказа
5. 
",,,,,,
4,"Успешное оформление заказа (способ доставки - курьер, способ оплаты - при получении)",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2.  Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Ввести адрес доставки
4. Выбрать способ оплаты
5. Нажать на кнопку ""Заказать""
","1. Открывается форма ""Оформление заказа""
2. Открывается окно для ввода адреса доставки
3. Появляется окно с адресом доставки
4. Появляется кнопка ""Заказать""
5. Пользователь видит диалог об успешном оформлении заказа. В личном кабинете заказ отображается в статусе ""Оформлен""
","1. 
2. Курьер
3. Существующий адрес доставки
4. При получении заказа
5. 
",,,,,,
5,"Оформление заказа при отсутствии товаров в корзине",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2.  Открыта страница корзины 


<br>",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Удалить товар из корзины""
2. Авторизоваться в системе с другого браузера
3. Перейти в раздел ""Корзина""
","1. Карточка товара исчезла со страницы корзины
2. Открыт личный кабинет пользователя
3. Товары в корзине отсутствуют, кнопки ""Оформить заказ"" нет
","1. 
2. Валидные логин и пароль
3. 
",,,,,,
6,"Оформление заказа при условии, что закончился товар",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2.  Открыта страница корзины 


<br>",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Ввести адрес доставки
4. Выбрать способ оплаты
5. Нажать на кнопку ""Заказать""
","1. Открывается форма ""Оформление заказа""
2. Открывается окно для ввода адреса доставки
3. Появляется окно с адресом доставки
4. Появляется кнопка ""Заказать""
5. Появляется ошибка ""Товар закончился. Обновите корзину""

<br>
<br>
","1. 
2. Курьер
3. Существующий адрес доставки
4. При получении заказа
5. 
",,,,,,
7,"Оформление заказа на несуществующий адрес доставки",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2. Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Ввести адрес доставки
","1. Открывается форма ""Оформление заказа""
2. Открывается окно для ввода адреса доставки
3. Выводиться сообщение об ошибке ""Введен некорректный адрес""
","1. 
2. Курьер
3. Несуществующий адрес: 423058, Тамбовская область, город Истра, шоссе Сталина, 00
",,,,,,
8,"Оформление заказа - способ оплаты онлайн с нулевым балансом на банковской карте",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар
2.  Открыта страница корзины",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Выбрать адрес пункта выдачи
4. Выбрать способ оплаты
5. Ввести данные карты
6. Нажать на кнопку ""Оплатить""
","1. Открывается форма ""Оформление заказа""
2. Открывается форма выбора пункта выдачи
3. Появляется окно с адресом пункта выдачи
4. Открывается модальное окно для ввода данных банковской карты
5. Кнопка ""Оплатить"" становиться активна
6. Выводится сообщение об ошибке ""Не достаточно средств на карте""
","1. 
2. Пункт выдачи
3. Существующий адрес пункта выдачи
4. Онлайн
5. Данные банковской карты с нулевым балансом
6. 
",,,,,,
9,"Оформление заказа - способ оплаты онлайн с невалидными данными банковской карты",,"1. Пользователь авторизован, в корзину добавлен минимум 1 товар 
2.  Открыта страница корзины 


<br>",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать кнопку ""Оформить заказ""
2. Выбрать способ доставки
3. Ввести адрес доставки
4. Выбрать способ оплаты
5. Ввести данные карты
","1. Открывается форма ""Оформление заказа""
2. Открывается окно для ввода адреса доставки
3. Появляется окно с адресом доставки
4. Открывается модальное окно для ввода данных банковской карты
5. Выводится сообщение ""Невалидные данные банковской карты""
","1. 
2. Курьер
3. Существующий адрес доставки
4. Онлайн
5. ۷ Карта с просроченным сроком действия; 
۷ Номер карты с одними нулями.
",,,,,,
